JDBC time: 40188028, Servlet time: 40210839
JDBC time: 44942669, Servlet time: 44993424
JDBC time: 44346103, Servlet time: 44370731
JDBC time: 22891617, Servlet time: 22945551
JDBC time: 22244026, Servlet time: 22275880
JDBC time: 66304603, Servlet time: 66330760
JDBC time: 64483485, Servlet time: 64507613
JDBC time: 65581522, Servlet time: 65602374
JDBC time: 70236104, Servlet time: 70260389
JDBC time: 71141499, Servlet time: 71165220
JDBC time: 76565542, Servlet time: 76612062
JDBC time: 83011965, Servlet time: 83055773
JDBC time: 80677963, Servlet time: 80699147
JDBC time: 20101808, Servlet time: 20138835
JDBC time: 19932394, Servlet time: 19953598
JDBC time: 63402422, Servlet time: 63426407
JDBC time: 64763060, Servlet time: 64798333
JDBC time: 64231900, Servlet time: 64265313
JDBC time: 69000853, Servlet time: 69026161
JDBC time: 80062488, Servlet time: 80086554
JDBC time: 89310331, Servlet time: 89372513
JDBC time: 89332187, Servlet time: 89355255
JDBC time: 54428231, Servlet time: 54492744
JDBC time: 26393451, Servlet time: 26432100
JDBC time: 26305471, Servlet time: 26325696
JDBC time: 72899929, Servlet time: 72922881
JDBC time: 73738380, Servlet time: 73789632
JDBC time: 70296411, Servlet time: 70319961
JDBC time: 73507648, Servlet time: 73529328
JDBC time: 72557896, Servlet time: 72584497
JDBC time: 73819708, Servlet time: 73854712
JDBC time: 92033786, Servlet time: 92152443
JDBC time: 91971631, Servlet time: 91994684
JDBC time: 92994868, Servlet time: 93016171
JDBC time: 99382462, Servlet time: 99403382
JDBC time: 69970912, Servlet time: 69994402
JDBC time: 69826582, Servlet time: 69848010
JDBC time: 76246714, Servlet time: 76270187
JDBC time: 70583775, Servlet time: 70605839
JDBC time: 72966412, Servlet time: 72997763
JDBC time: 85054811, Servlet time: 85112221
JDBC time: 78023339, Servlet time: 78048512
JDBC time: 79347288, Servlet time: 79365737
JDBC time: 83022799, Servlet time: 83044999
JDBC time: 90436707, Servlet time: 90456884
JDBC time: 73934366, Servlet time: 73957918
JDBC time: 72249479, Servlet time: 72281860
JDBC time: 78753782, Servlet time: 78775141
JDBC time: 78923515, Servlet time: 78942683
JDBC time: 88079954, Servlet time: 88106056
JDBC time: 94334779, Servlet time: 94377747
JDBC time: 78681045, Servlet time: 79542142
JDBC time: 88743374, Servlet time: 88763902
JDBC time: 89329966, Servlet time: 89364880
JDBC time: 92983507, Servlet time: 93005576
JDBC time: 14619500, Servlet time: 14706972
JDBC time: 71830187, Servlet time: 71855525
JDBC time: 68035835, Servlet time: 68058447
JDBC time: 66642340, Servlet time: 66677497
JDBC time: 70718337, Servlet time: 70740904
JDBC time: 73267856, Servlet time: 73289168
JDBC time: 81805909, Servlet time: 81826603
JDBC time: 84231729, Servlet time: 84253474
JDBC time: 82971687, Servlet time: 82994807
JDBC time: 84900117, Servlet time: 84923525
JDBC time: 93551888, Servlet time: 93602905
JDBC time: 75847265, Servlet time: 75875580
JDBC time: 75396412, Servlet time: 75419523
JDBC time: 76184553, Servlet time: 76205890
JDBC time: 76406064, Servlet time: 76428394
JDBC time: 78175569, Servlet time: 78196894
JDBC time: 80875255, Servlet time: 80895121
JDBC time: 90132887, Servlet time: 90185390
JDBC time: 83076869, Servlet time: 83100711
JDBC time: 84987895, Servlet time: 85009760
JDBC time: 85131053, Servlet time: 85150783
JDBC time: 24910766, Servlet time: 24954400
JDBC time: 21916845, Servlet time: 21939702
JDBC time: 22589499, Servlet time: 22612506
JDBC time: 12583275, Servlet time: 12621217
JDBC time: 19039337, Servlet time: 19093516
JDBC time: 18094663, Servlet time: 18132197
JDBC time: 15988864, Servlet time: 16013761
JDBC time: 12963540, Servlet time: 12988722
JDBC time: 19355449, Servlet time: 19410506
JDBC time: 9763820, Servlet time: 9798580
JDBC time: 37744530, Servlet time: 37765589
JDBC time: 38631762, Servlet time: 38651667
JDBC time: 39877502, Servlet time: 39930238
JDBC time: 26745759, Servlet time: 26779239
JDBC time: 33544407, Servlet time: 33585979
JDBC time: 29229208, Servlet time: 29251024
JDBC time: 30130040, Servlet time: 30153445
JDBC time: 23300023, Servlet time: 23340438
JDBC time: 19329576, Servlet time: 19355157
JDBC time: 13959043, Servlet time: 13985217
JDBC time: 25103648, Servlet time: 25145887
JDBC time: 27676442, Servlet time: 27697977
JDBC time: 23288887, Servlet time: 23315478
JDBC time: 16793261, Servlet time: 16814674
JDBC time: 18108999, Servlet time: 18145168
JDBC time: 20246671, Servlet time: 20270213
JDBC time: 21610230, Servlet time: 21648010
JDBC time: 29006549, Servlet time: 29027973
JDBC time: 30552428, Servlet time: 30597702
JDBC time: 36955612, Servlet time: 36975891
JDBC time: 36472993, Servlet time: 36513872
JDBC time: 33800421, Servlet time: 33820668
JDBC time: 36993032, Servlet time: 37017636
JDBC time: 36701236, Servlet time: 36721782
JDBC time: 38512237, Servlet time: 38533937
JDBC time: 30961647, Servlet time: 30985973
JDBC time: 31827156, Servlet time: 31848133
JDBC time: 33405785, Servlet time: 33441517
JDBC time: 41627421, Servlet time: 41664039
JDBC time: 49776529, Servlet time: 49820789
JDBC time: 41085278, Servlet time: 41121044
JDBC time: 39910355, Servlet time: 39931148
JDBC time: 38907515, Servlet time: 38931331
JDBC time: 40457833, Servlet time: 40479919
JDBC time: 45612887, Servlet time: 45659974
JDBC time: 35073425, Servlet time: 35118358
JDBC time: 35774429, Servlet time: 35794737
JDBC time: 36804031, Servlet time: 36825616
JDBC time: 38192917, Servlet time: 38217931
JDBC time: 40443271, Servlet time: 40469890
JDBC time: 40146079, Servlet time: 40188665
JDBC time: 36235763, Servlet time: 36265145
JDBC time: 41889420, Servlet time: 41914548
JDBC time: 43437572, Servlet time: 43459502
JDBC time: 55520754, Servlet time: 55548398
JDBC time: 37225779, Servlet time: 37248076
JDBC time: 38915660, Servlet time: 38944586
JDBC time: 47059899, Servlet time: 47102700
JDBC time: 41552382, Servlet time: 41607398
JDBC time: 41868431, Servlet time: 41889789
JDBC time: 18650729, Servlet time: 18691597
JDBC time: 14893356, Servlet time: 14931839
JDBC time: 24935142, Servlet time: 24961640
JDBC time: 25116222, Servlet time: 25134976
JDBC time: 26213175, Servlet time: 26237372
JDBC time: 58501459, Servlet time: 58522428
JDBC time: 64471190, Servlet time: 64496692
JDBC time: 64976040, Servlet time: 64996963
JDBC time: 76357186, Servlet time: 76378185
JDBC time: 77413360, Servlet time: 77457524
JDBC time: 68514081, Servlet time: 68548102
JDBC time: 67559990, Servlet time: 67584163
JDBC time: 48616143, Servlet time: 48640518
JDBC time: 48785055, Servlet time: 48804882
JDBC time: 50030689, Servlet time: 50051326
JDBC time: 10589975, Servlet time: 10635737
JDBC time: 134276323, Servlet time: 134297981
JDBC time: 137711609, Servlet time: 137750980
JDBC time: 139080821, Servlet time: 139101978
JDBC time: 143683535, Servlet time: 143703267
