JDBC time: 90633149, Servlet time: 90663901
JDBC time: 94371220, Servlet time: 95277096
JDBC time: 106799820, Servlet time: 106833516
JDBC time: 10468709, Servlet time: 10533762
JDBC time: 74452323, Servlet time: 74533769
JDBC time: 87608906, Servlet time: 87648515
JDBC time: 86587968, Servlet time: 86619299
JDBC time: 87623912, Servlet time: 87687450
JDBC time: 87158009, Servlet time: 87188135
JDBC time: 93641749, Servlet time: 93676489
JDBC time: 107284630, Servlet time: 107319927
JDBC time: 102886821, Servlet time: 102924006
JDBC time: 90603234, Servlet time: 90648058
JDBC time: 11780404, Servlet time: 11842770
JDBC time: 94287949, Servlet time: 94317806
JDBC time: 95573429, Servlet time: 95606922
JDBC time: 96593608, Servlet time: 96626914
JDBC time: 100211610, Servlet time: 104868343
JDBC time: 102833212, Servlet time: 102875723
JDBC time: 101921728, Servlet time: 101956345
JDBC time: 104127284, Servlet time: 104156676
JDBC time: 106920382, Servlet time: 106956887
JDBC time: 115520863, Servlet time: 115554000
JDBC time: 39785730, Servlet time: 39836280
JDBC time: 80693849, Servlet time: 80751411
JDBC time: 79073065, Servlet time: 79105280
JDBC time: 81229622, Servlet time: 81279016
JDBC time: 83493919, Servlet time: 83526503
JDBC time: 84123778, Servlet time: 84151895
JDBC time: 83166461, Servlet time: 83195738
JDBC time: 87147395, Servlet time: 87181534
JDBC time: 89604545, Servlet time: 89637169
JDBC time: 98863608, Servlet time: 98895076
JDBC time: 101527377, Servlet time: 101591835
JDBC time: 67962535, Servlet time: 67988775
JDBC time: 68124778, Servlet time: 68151804
JDBC time: 67611409, Servlet time: 67642406
JDBC time: 68455928, Servlet time: 68499522
JDBC time: 75636325, Servlet time: 75665719
JDBC time: 81986812, Servlet time: 82018035
JDBC time: 87954646, Servlet time: 88050726
JDBC time: 81809543, Servlet time: 81842037
JDBC time: 87885519, Servlet time: 87918494
JDBC time: 97077250, Servlet time: 97147226
JDBC time: 82552156, Servlet time: 82583605
JDBC time: 77050100, Servlet time: 77081352
JDBC time: 84149412, Servlet time: 84184511
JDBC time: 83043231, Servlet time: 83071766
JDBC time: 85855836, Servlet time: 85886996
JDBC time: 84716716, Servlet time: 84744747
JDBC time: 83920638, Servlet time: 83947885
JDBC time: 90284024, Servlet time: 90314568
JDBC time: 88704183, Servlet time: 88735735
JDBC time: 98456136, Servlet time: 98526970
JDBC time: 78095668, Servlet time: 78123754
JDBC time: 78182277, Servlet time: 78209538
JDBC time: 80802402, Servlet time: 80828813
JDBC time: 85123012, Servlet time: 85155615
JDBC time: 85055792, Servlet time: 85083585
JDBC time: 84865908, Servlet time: 84892297
JDBC time: 84463013, Servlet time: 84489309
JDBC time: 88480645, Servlet time: 88507560
JDBC time: 91788491, Servlet time: 91848409
JDBC time: 99150028, Servlet time: 99182886
JDBC time: 80115396, Servlet time: 80145176
JDBC time: 82990216, Servlet time: 83019967
JDBC time: 84953354, Servlet time: 84980466
JDBC time: 86717121, Servlet time: 86785945
JDBC time: 83957662, Servlet time: 83986139
JDBC time: 85382470, Servlet time: 85413799
JDBC time: 88710851, Servlet time: 88738234
JDBC time: 92040894, Servlet time: 92099416
JDBC time: 95665298, Servlet time: 95693312
JDBC time: 96118448, Servlet time: 96145712
JDBC time: 79291839, Servlet time: 79320030
JDBC time: 89180759, Servlet time: 89210893
JDBC time: 92875594, Servlet time: 92944657
JDBC time: 76901236, Servlet time: 76929995
JDBC time: 80240843, Servlet time: 80324280
JDBC time: 81407947, Servlet time: 81467309
JDBC time: 51624563, Servlet time: 51671711
JDBC time: 48596171, Servlet time: 48624892
JDBC time: 82358529, Servlet time: 82404158
JDBC time: 56670021, Servlet time: 56707856
JDBC time: 26419780, Servlet time: 26479890
JDBC time: 21583495, Servlet time: 21610317
JDBC time: 28645021, Servlet time: 28730885
JDBC time: 63359112, Servlet time: 63380129
JDBC time: 69610503, Servlet time: 69632769
JDBC time: 72260778, Servlet time: 72291274
JDBC time: 75568704, Servlet time: 75598417
JDBC time: 77431117, Servlet time: 77457454
JDBC time: 87081338, Servlet time: 87118310
JDBC time: 88023937, Servlet time: 88071003
JDBC time: 63041851, Servlet time: 63064718
JDBC time: 72834247, Servlet time: 72866542
JDBC time: 75045012, Servlet time: 75066353
JDBC time: 57338566, Servlet time: 57362150
JDBC time: 60484192, Servlet time: 60512208
JDBC time: 59103675, Servlet time: 59125461
JDBC time: 72756062, Servlet time: 72804026
JDBC time: 73448869, Servlet time: 73475968
JDBC time: 69040729, Servlet time: 69061742
JDBC time: 75675975, Servlet time: 75697438
JDBC time: 76869093, Servlet time: 76889813
JDBC time: 18307476, Servlet time: 18331985
JDBC time: 20926653, Servlet time: 20962675
JDBC time: 54638823, Servlet time: 54688181
JDBC time: 52971895, Servlet time: 52997805
JDBC time: 38205880, Servlet time: 38232059
JDBC time: 49060872, Servlet time: 49118232
JDBC time: 78216620, Servlet time: 78239702
JDBC time: 78249609, Servlet time: 78277979
JDBC time: 78561830, Servlet time: 78580084
JDBC time: 44308614, Servlet time: 44342338
JDBC time: 43845118, Servlet time: 43870716
JDBC time: 73795351, Servlet time: 73818187
JDBC time: 10172812, Servlet time: 10298180
JDBC time: 69427307, Servlet time: 69449788
JDBC time: 70771482, Servlet time: 70793855
JDBC time: 72737839, Servlet time: 72758961
JDBC time: 81453027, Servlet time: 81484242
JDBC time: 79194906, Servlet time: 79215138
JDBC time: 85547551, Servlet time: 85565596
JDBC time: 91252316, Servlet time: 91277004
JDBC time: 98565377, Servlet time: 98591855
JDBC time: 101334213, Servlet time: 101428711
JDBC time: 13789121, Servlet time: 13832194
JDBC time: 78599086, Servlet time: 78620729
JDBC time: 83108370, Servlet time: 83132393
JDBC time: 81873216, Servlet time: 81894869
JDBC time: 85254162, Servlet time: 85276795
JDBC time: 87509386, Servlet time: 87546820
JDBC time: 85326140, Servlet time: 85348912
JDBC time: 89037549, Servlet time: 89066354
JDBC time: 94440894, Servlet time: 94493179
JDBC time: 52475811, Servlet time: 52503869
JDBC time: 98198874, Servlet time: 98220672
JDBC time: 93221233, Servlet time: 93263257
JDBC time: 90751227, Servlet time: 90772800
JDBC time: 92031457, Servlet time: 92290586
JDBC time: 97886907, Servlet time: 97908536
JDBC time: 62878954, Servlet time: 62907506
JDBC time: 108913502, Servlet time: 108936588
JDBC time: 114711055, Servlet time: 114752769
JDBC time: 106857288, Servlet time: 106882402
JDBC time: 71004214, Servlet time: 71029061
JDBC time: 115811692, Servlet time: 115834435
JDBC time: 36681369, Servlet time: 36704219
JDBC time: 50914148, Servlet time: 50937615
JDBC time: 61137399, Servlet time: 61160393
JDBC time: 65472561, Servlet time: 65518826
JDBC time: 25593219, Servlet time: 25624579
JDBC time: 33702598, Servlet time: 33749906
JDBC time: 17310692, Servlet time: 17333832
JDBC time: 20129835, Servlet time: 20162739
JDBC time: 13290230, Servlet time: 13317669
JDBC time: 19434960, Servlet time: 19478551
JDBC time: 9994595, Servlet time: 10032026
JDBC time: 29113144, Servlet time: 29135822
JDBC time: 31693710, Servlet time: 31740907
JDBC time: 38200171, Servlet time: 38222271
JDBC time: 34938701, Servlet time: 34985936
JDBC time: 37186453, Servlet time: 37212989
JDBC time: 31906139, Servlet time: 31930654
JDBC time: 31829140, Servlet time: 31850956
JDBC time: 26326617, Servlet time: 26350460
JDBC time: 30557217, Servlet time: 30595059
JDBC time: 39696440, Servlet time: 39726629
JDBC time: 25493339, Servlet time: 25515431
JDBC time: 27802484, Servlet time: 27844068
JDBC time: 27476992, Servlet time: 27499963
JDBC time: 19462947, Servlet time: 19485291
JDBC time: 20490282, Servlet time: 20515288
JDBC time: 35042421, Servlet time: 35067970
JDBC time: 36810055, Servlet time: 36836587
JDBC time: 46887503, Servlet time: 46932496
JDBC time: 48543545, Servlet time: 48562114
JDBC time: 42543306, Servlet time: 42564586
JDBC time: 48373788, Servlet time: 48395013
JDBC time: 48508594, Servlet time: 48530955
JDBC time: 49802534, Servlet time: 49849622
JDBC time: 44908025, Servlet time: 44930744
JDBC time: 47275941, Servlet time: 47301158
JDBC time: 24864091, Servlet time: 24885344
JDBC time: 27792441, Servlet time: 27843198
JDBC time: 28042376, Servlet time: 28076406
JDBC time: 17429043, Servlet time: 17474352
JDBC time: 17451878, Servlet time: 17473450
JDBC time: 76290164, Servlet time: 76309901
JDBC time: 76508585, Servlet time: 76992406
JDBC time: 81653459, Servlet time: 81676422
JDBC time: 83679341, Servlet time: 83702125
JDBC time: 85460215, Servlet time: 85513529
JDBC time: 78642684, Servlet time: 78667112
JDBC time: 82754455, Servlet time: 82777219
JDBC time: 87806888, Servlet time: 87829571
JDBC time: 57274547, Servlet time: 57296426
JDBC time: 69912535, Servlet time: 69937400
JDBC time: 62145037, Servlet time: 62169696
JDBC time: 69242284, Servlet time: 69264797
JDBC time: 69206000, Servlet time: 69226462
JDBC time: 77480516, Servlet time: 77502500
JDBC time: 77261237, Servlet time: 77284402
JDBC time: 77224730, Servlet time: 77246470
JDBC time: 86042090, Servlet time: 86094771
JDBC time: 32624431, Servlet time: 32669273
JDBC time: 32781523, Servlet time: 32802832
JDBC time: 32881464, Servlet time: 32905805
JDBC time: 21624708, Servlet time: 21710958
JDBC time: 22777425, Servlet time: 22819823
JDBC time: 11829987, Servlet time: 11866520
JDBC time: 22165341, Servlet time: 22195468
JDBC time: 22154079, Servlet time: 22179251
JDBC time: 29546732, Servlet time: 29593799
JDBC time: 32258361, Servlet time: 32280634
JDBC time: 28566394, Servlet time: 28591105
JDBC time: 35242345, Servlet time: 35277043
JDBC time: 36132338, Servlet time: 36157858
JDBC time: 25857861, Servlet time: 25879987
JDBC time: 25986568, Servlet time: 26005794
JDBC time: 28064790, Servlet time: 28101735
JDBC time: 72453169, Servlet time: 72477537
JDBC time: 79532214, Servlet time: 79557335
JDBC time: 78855810, Servlet time: 78877840
JDBC time: 83859856, Servlet time: 83904836
JDBC time: 82406450, Servlet time: 82428803
JDBC time: 85476888, Servlet time: 85500986
JDBC time: 83155806, Servlet time: 83176606
JDBC time: 58165384, Servlet time: 58188020
JDBC time: 62397210, Servlet time: 62442696
JDBC time: 62089461, Servlet time: 62111155
JDBC time: 86967238, Servlet time: 86988455
JDBC time: 86323667, Servlet time: 86344791
JDBC time: 86262577, Servlet time: 86287339
JDBC time: 89541090, Servlet time: 89563202
JDBC time: 91500257, Servlet time: 91521617
JDBC time: 92584625, Servlet time: 92608754
JDBC time: 92372075, Servlet time: 92392603
JDBC time: 97828796, Servlet time: 97873741
JDBC time: 95785187, Servlet time: 95805509
JDBC time: 99118949, Servlet time: 99981940
JDBC time: 28615144, Servlet time: 28643667
JDBC time: 34676387, Servlet time: 34721126
JDBC time: 34329241, Servlet time: 34351774
JDBC time: 58981784, Servlet time: 59003292
JDBC time: 59344463, Servlet time: 59366809
JDBC time: 59140670, Servlet time: 59161032
JDBC time: 60546607, Servlet time: 60567101
JDBC time: 63614117, Servlet time: 63667507
JDBC time: 62700367, Servlet time: 62721591
JDBC time: 64179002, Servlet time: 64200014
JDBC time: 9789031, Servlet time: 9824270
JDBC time: 16621384, Servlet time: 16645987
JDBC time: 12244647, Servlet time: 12270721
JDBC time: 48499593, Servlet time: 48522233
JDBC time: 30763590, Servlet time: 30789477
JDBC time: 54397054, Servlet time: 54421303
JDBC time: 42035426, Servlet time: 42059432
JDBC time: 54488847, Servlet time: 54510211
JDBC time: 56393036, Servlet time: 56441290
JDBC time: 11864783, Servlet time: 11898093
JDBC time: 24533908, Servlet time: 24560053
JDBC time: 29160666, Servlet time: 29194002
JDBC time: 35090068, Servlet time: 35112278
JDBC time: 53640939, Servlet time: 53662589
JDBC time: 58481506, Servlet time: 58503751
JDBC time: 58525472, Servlet time: 58556497
JDBC time: 83909285, Servlet time: 83934245
JDBC time: 67328089, Servlet time: 67359483
JDBC time: 79100436, Servlet time: 79124453
JDBC time: 87619777, Servlet time: 87658837
JDBC time: 35738003, Servlet time: 35767450
JDBC time: 31796092, Servlet time: 31823234
JDBC time: 25703657, Servlet time: 25730690
JDBC time: 79761245, Servlet time: 79783431
